mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0018378;Schachthydrant-Befestigung für WZ-Schacht;;4250204493108;90289090;Stk;1;52,09;;2,50%;1,200;580,0;60,0;516,0
0018379;Schachthydrant-Befestigung für Flexoripp;;4250204493115;90289090;Stk;1;100,99;;2,50%;3,250;580,0;60,0;516,0
0035006;Silikon-Membrane 30° für KMR DN65;;4250204473421;84818087;Stk;1;108,60;;2,50%;0,032;77,0;126,0;77,0
0035013;EPDM-Membrane 30° m. Bohrung;f. Feuerwehr-KMR;4250204492545;84813099;Stk;1;95,95;;2,50%;0,051;126,0;77,0;77,0
0046615;EWE-Bohrstangen-Verlängerung G3/8 x 100mm;;4250204400502;82051000;Stk;1;41,31;;2,50%;0,287;115,0;22,0;22,0
0046619;EWE-MINI-AUSSTOSS-BOHRST.;;4250204400526;82051000;Stk;1;299,36;;2,50%;1,360;450,0;25,0;25,0
0047213;"Adapter für Bohrloch-Hülse 2""";;4250204457629;82051000;Stk;1;51,03;;2,50%;0,114;29,0;32,0;36,0
0051012;"Probeentnahmeventil Edelstahl  AG 1/2""";;4250204400861;90289090;Stk;1;124,38;;2,50%;0,298;87,0;152,0;70,0
0051013;"Probeentnahmeventil Edelstahl  AG 1/4""";;4250204400878;84819000;Stk;1;124,38;;2,50%;0,260;75,0;142,0;50,0
0051014;"Probeentnahmeventil Edelstahl  AG 3/8""";;4250204400885;90289090;Stk;1;124,38;;2,50%;0,225;75,0;142,0;50,0
0069065;Scheibensieb f. Gartenstandrohr,  Ø28x2.5;;4250204482416;84819000;Stk;1;2,54;;2,50%;0,001;30,0;30,0;5,0
0070218;Inbus,  A2, DIN 912, M8 x 100;;4250204483949;84819000;Stk;1;0,87;1;2,50%;0,043;10,0;10,0;25,0
0080047;Fixierhalteband 80mm breit/1 Rolle=2000cm;;4250204497953;59061000;Stk;1;94,27;;2,50%;0,001;80,0;50,0;1,0
0080052;Aufkleber Trinkwasser-Standrohr;;4250204498257;48211010;Stk;1;5,05;;2,50%;0,004;50,0;80,0;1,0
0094079;Fußdichtung DN50;EPDM, Ø79 x Ø54 x 5;4250204402551;40169300;Stk;1;5,08;;2,50%;0,015;5,0;79,0;79,0
0094091;Fußdichtung DN80;EPDM, Ø91 x Ø72 x 5;4250204402568;40169300;Stk;1;3,80;;2,50%;0,013;5,0;91,0;91,0
0094099;Fußdichtung DN100;EPDM, Ø132 x Ø106 x 5;4250204402575;40169300;Stk;1;11,22;;2,50%;0,042;5,0;132,0;132,0
0095049;EPDM-Fußdichtung 48x34x4 mm, 70 Shore A;;4250204402636;40169300;Stk;1;2,41;;2,50%;0,005;4,0;48,0;48,0
0095050;EPDM-Fußdichtung 62x48x4 mm, 70 Shore A;;4250204495928;40169300;Stk;1;3,77;;2,50%;0,005;62,0;48,0;3,0
0108942;Stopfen für Schachtabdeckung FLEXORIPP;Schwarz;4250204498493;40169300;Stk;1;0,82;;2,50%;0,004;36,0;15,0;36,0
0108951;Schutzkappe, für Standrohr DN80 LD-PE;;4250204456905;73269098;Stk;1;10,57;;2,50%;0,040;100,0;100,0;38,0
0108952;Schutzkappe, für Standrohr DN50 LD-PE;;4250204489675;39269097;Stk;1;10,57;;2,50%;0,020;89,0;39,0;89,0
