mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0018378;Schachthydrant-Befestigung für WZ-Schacht;;4250204493108;90289090;Stk;;53,39;;;1,2;580;60;516
0018379;Schachthydrant-Befestigung für Flexoripp;;4250204493115;90289090;Stk;;103,51;;;3,25;580;60;516
0035006;Silikon-Membrane 30° für KMR DN65;;4250204473421;84818087;Stk;;111,32;;;0,032;77;126;77
0035013;EPDM-Membrane 30° m. Bohrung;;4250204492545;84813099;Stk;;98,35;;;0,051;107;75;75
0046615;EWE-Bohrstangen-Verlängerung G3/8 x 100mm;;4250204400502;82051000;Stk;;42,34;;;0,287;115;22;22
0046619;EWE-MINI-AUSSTOSS-BOHRST.;;4250204400526;82051000;Stk;;306,84;;;1,36;450;25;25
0047213;"Adapter für Bohrloch-Hülse 2""";;4250204457629;82051000;Stk;;52,31;;;0,114;29;32;36
0051012;"Probeentnahmeventil Edelstahl  AG 1/2""";;4250204400861;90289090;Stk;;127,49;;;0,298;87;152;70
0051013;"Probeentnahmeventil Edelstahl  AG 1/4""";;4250204400878;84819000;Stk;;127,49;;;0,26;75;142;50
0051014;"Probeentnahmeventil Edelstahl  AG 3/8""";;4250204400885;90289090;Stk;;127,49;;;0,225;75;142;50
0069065;Scheibensieb f. Gartenstandrohr,  Ø28x2.5;;4250204482416;84819000;Stk;;2,60;;;0,001;30;30;5
0070218;Inbus,  A2, DIN 912, M8 x 100;;4250204483949;84819000;Stk;;0,89;;;0,043;10;10;25
0080047;Fixierhalteband 80mm breit/1 Rolle=2000cm;;4250204497953;59061000;Stk;;96,63;;;0,001;80;50;1
0080052;Aufkleber Trinkwasser-Standrohr;;4250204498257;48211010;Stk;;5,18;;;0,004;50;80;1
0094079;Fußdichtung DN50;;4250204402551;40169300;Stk;;5,21;;;0,015;5;79;79
0094091;Fußdichtung DN80;;4250204402568;40169300;Stk;;3,90;;;0,013;5;91;91
0094099;Fußdichtung DN100;;4250204402575;40169300;Stk;;11,50;;;0,042;5;132;132
0095049;EPDM-Fußdichtung 48x34x4 mm, 70 Shore A;;4250204402636;40169300;Stk;;2,47;;;0,005;4;48;48
0095050;EPDM-Fußdichtung 62x48x4 mm, 70 Shore A;;4250204495928;40169300;Stk;;3,86;;;0,005;62;48;3
0108928;Schutzkappe, konisch LD-PE Nr. 131;;4255651704685;73269098;Stk;;2,95;;;0,03;0;0;0
0108942;Stopfen für Schachtabdeckung FLEXORIPP;;4250204498493;40169300;Stk;;0,84;;;0,004;36;15;36
0108951;Schutzkappe, für Standrohr DN80 LD-PE;;4250204456905;73269098;Stk;;2,95;;;0,04;100;100;38
0108952;Schutzkappe, für Standrohr DN50 LD-PE;;4250204489675;39269097;Stk;;2,95;;;0,02;89;39;89
0240075;NIRO-Schlauchschelle 40-60;;4250204403534;73269098;Stk;;6,81;;;0,019;10;40;40
0240076;NIRO-SCHLAUCHSCHEL. 70-90;;4250204403541;73269098;Stk;;7,82;;;0,023;40;40;40
0309925;2 Dübel, NIRO-Schrauben 8x70, U-Scheiben;;4250204403633;73181520;Stk;;2,52;;;0,065;15;128;96
0309949;2 Dübel, NIRO-Schrauben 10x70, U-Scheiben;;4255651703602;73181520;Stk;;4,91;;;0,123;20;132;115
0309950;2 Dübel, NIRO-Schrauben 10x90, U-Scheiben;;4250204403640;73181520;Stk;;4,91;;;0,123;20;132;115
0388060;"WZ-Dichtung PE 3/4"" max. 40°C";;4250204403701;40169300;Stk;;0,87;;;0,001;30;30;3
0388061;"WZ-Dichtung PE 1""  Max 40°C";;4250204403718;40169300;Stk;;1,01;;;0,001;10;10;26
0388062;WZ-Dichtung PE 1½ Max 40°C;;4250204403725;40169300;Stk;;1,18;;;0,001;10;10;39
0388259;"WZ-Dichtung EP ½"" max. 130°C";;4250204479096;40169300;Stk;;0,87;;;0,001;2;24;24
0388260;"WZ-Dichtung EP ¾"" max. 130°C";;4250204403787;40027000;Stk;;0,87;;;0,001;2;30;30
0388261;"WZ-Dichtung EP 1"" max. 130°C";;4250204403794;40027000;Stk;;1,01;;;0,001;10;10;26
0388262;"WZ-Dichtung EP 1½"" max. 130°C";;4250204403800;40027000;Stk;;1,18;;;0,002;10;10;39
0388263;"WZ-Dichtung EP 2""  max. 130°C";;4250204462449;40027000;Stk;;1,30;;;0,005;10;10;51
0388459;"WZ-Heißwasser-Dichtung 1/2""MAX200°C PN 10";;4250204403824;40169300;Stk;;1,01;;;0,001;2;17;26
0388460;"WZ-Heißwasser-Dichtung 3/4""MAX200°C PN 10";;4250204403831;90289090;Stk;;1,01;;;0,001;2;30;24
0388461;"WZ-Heißwasser-Dichtung 1"" MAX200°C PN 10";;4250204403848;90289090;Stk;;1,18;;;0,001;2;38;30
0388462;"WZ-Heißwasser-Dichtung 6/4""MAX200°C PN 10";;4250204403855;90289090;Stk;;1,44;;;0,002;2;55;44
0392-CAC1CC;MEGARIPP Q3 16 KH-KMR-KH 1x300mm d50 d50;;4255651703343;90289090;Stk;;6.633,65;;;158,492;1000;1530;1000
0392-CAC1DD;MEGARIPP Q3 16 KH-KMR-KH 1x300mm d63 d63;;4255651700601;90289090;Stk;;6.633,65;;;158,492;1000;1530;1000
0392-CBE1DC;MEGARIPP Q3 16 FS-KSR 1x300mm d63 d50;;4255651703732;90289090;Stk;;6.543,19;;;158,492;1000;1530;1000
0392-CBE1DD;MEGARIPP Q3 16 FS-KSR 1x300mm d63 d63;;4255651700618;90289090;Stk;;6.543,19;;;158,492;1000;1530;1000
0395005;FLEXORIPP Isolierdeckel;;4250204492446;90289090;Stk;;49,39;;;0,55;485;105;485
0395006;Rahmen Klasse A/B für FLEXORIPP;;4250204489217;90289090;Stk;;92,22;;;21,6;550;130;580
0395007;Deckel für FLEXORIPP, EN124,  A15;;4250204489224;90289090;Stk;;184,46;;;16,2;526;48;552
0395008;Deckel für FLEXORIPP, EN124,  B125;;4250204489231;90289090;Stk;;276,67;;;24,4;526;48;552
0395021;Hebe-Leine RD 0,75 m für FLEXORIPP;;4250204492453;56075011;Stk;;18,04;;;0,13;400;300;20
0395022;Hebe-Leine RD 1,00 m für FLEXORIPP;;4250204492460;56075011;Stk;;19,38;;;0,15;300;400;20
0395023;Hebe-Leine RD 1,25 m für FLEXORIPP;;4250204492477;56075011;Stk;;20,72;;;0,16;300;400;20
0395024;Hebe-Leine RD 1,50 m für FLEXORIPP;;4250204492484;56075011;Stk;;21,63;;;0,18;300;400;20
