Kategorie,Artikelnummer,Beschreibung,Ausfuehrung,Gewinde,Baulaenge,Rohrdeckung,Klasse,Befestigung,Material,PE_Rohr_d,Preis
Schacht,0396360,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",190 mm,"0.75",,,"","",1061.11
Schacht,0396361,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",190 mm,"1.00",,,"","",1061.11
Schacht,0396362,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",190 mm,"1.25",,,"","",1102.19
Schacht,0396363,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",190 mm,"1.50",,,"","",1170.64
Schacht,0396363-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Schrägsitzventil – KSR-Ventil","1""",190 mm,"1.50",,,"","",1662.04
Schacht,0396364,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",190 mm,"1.75",,,"","",1273.34
Schacht,0396365,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",190 mm,"2.00",,,"","",1376.02
Schacht,0396391,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",220 mm,"1.00",,,"","",1088.51
Schacht,0396392,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",220 mm,"1.25",,,"","",1129.59
Schacht,0396393,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",220 mm,"1.50",,,"","",1204.88
Schacht,0396394,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",220 mm,"1.75",,,"","",1273.34
Schacht,0396395,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1""",220 mm,"2.00",,,"","",1376.02
Schacht,0396380,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",175 mm,"0.75",,,"","",1141.1
Schacht,0396381,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",175 mm,"1.00",,,"","",1088.51
Schacht,0396382,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",175 mm,"1.25",,,"","",1129.59
Schacht,0396383,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",175 mm,"1.50",,,"","",1204.88
Schacht,0396383-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Schrägsitzventil – KSR-Ventil","1¼""",175 mm,"1.50",,,"","",1699.35
Schacht,0396384,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",175 mm,"1.75",,,"","",1300.71
Schacht,0396385,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",175 mm,"2.00",,,"","",1403.41
Schacht,0396370,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",260 mm,"0.75",,,"","",1307.55
Schacht,0396371,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",260 mm,"1.00",,,"","",1307.55
Schacht,0396372,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",260 mm,"1.25",,,"","",1348.64
Schacht,0396373,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",260 mm,"1.50",,,"","",1417.09
Schacht,0396374,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",260 mm,"1.75",,,"","",1519.78
Schacht,0396375,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1¼""",260 mm,"2.00",,,"","",1622.48
Schacht,0396730,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1½""",260 mm,"0.75",,,"","",1452.02
Schacht,0396731,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1½""",260 mm,"1.00",,,"","",1452.02
Schacht,0396732,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1½""",260 mm,"1.25",,,"","",1514.51
Schacht,0396733,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1½""",260 mm,"1.50",,,"","",1559.78
Schacht,0396734,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1½""",260 mm,"1.75",,,"","",1722.93
Schacht,0396735,"FLEXORIPP WZ-Schacht","Schrägsitzventil – KSR-Ventil","1½""",260 mm,"2.00",,,"","",1782.42
Schacht,0396210,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",190 mm,"0.75",,,"","",1050.16
Schacht,0396211,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",190 mm,"1.00",,,"","",1050.16
Schacht,0396212,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",190 mm,"1.25",,,"","",1091.24
Schacht,0396213,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",190 mm,"1.50",,,"","",1159.7
Schacht,0396213-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Kugelhahn – KMR – Kugelhahn","1""",190 mm,"1.50",,,"","",1576.45
Schacht,0396214,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",190 mm,"1.75",,,"","",1262.38
Schacht,0396215,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",190 mm,"2.00",,,"","",1365.05
Schacht,0396241,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",220 mm,"1.00",,,"","",1077.54
Schacht,0396242,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",220 mm,"1.25",,,"","",1118.61
Schacht,0396243,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",220 mm,"1.50",,,"","",1193.91
Schacht,0396244,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",220 mm,"1.75",,,"","",1289.77
Schacht,0396245,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1""",220 mm,"2.00",,,"","",1392.44
Schacht,0396230,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",175 mm,"0.75",,,"","",1174.54
Schacht,0396231,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",175 mm,"1.00",,,"","",1077.54
Schacht,0396232,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",175 mm,"1.25",,,"","",1118.61
Schacht,0396233,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",175 mm,"1.50",,,"","",1193.91
Schacht,0396233-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Kugelhahn – KMR – Kugelhahn","1¼""",175 mm,"1.50",,,"","",1720.46
Schacht,0396234,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",175 mm,"1.75",,,"","",1289.77
Schacht,0396235,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",175 mm,"2.00",,,"","",1392.44
Schacht,0396220,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",260 mm,"0.75",,,"","",1296.61
Schacht,0396221,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",260 mm,"1.00",,,"","",1296.61
