Kategorie,Artikelnummer,Beschreibung,Material,Gewinde,PE_Rohr_d,Preis
Verschraubung,2210612,"PE-Verschraubung Pressmessing",messing,1",32,46.69
Verschraubung,2210613,"PE-Verschraubung Pressmessing",messing,1",40,48.49
Verschraubung,2210614,"PE-Verschraubung Pressmessing",messing,1",50,66.11
Verschraubung,2210615,"PE-Verschraubung Pressmessing",messing,1",63,114.65
Verschraubung,2210712,"PE-Verschraubung Pressmessing",messing,1 1/4",32,46.69
Verschraubung,2210713,"PE-Verschraubung Pressmessing",messing,1 1/4",40,48.49
Verschraubung,2210714,"PE-Verschraubung Pressmessing",messing,1 1/4",50,66.11
Verschraubung,2210715,"PE-Verschraubung Pressmessing",messing,1 1/4",63,114.65
Verschraubung,2210812,"PE-Verschraubung Pressmessing",messing,1 1/2",32,46.69
Verschraubung,2210813,"PE-Verschraubung Pressmessing",messing,1 1/2",40,48.49
Verschraubung,2210814,"PE-Verschraubung Pressmessing",messing,1 1/2",50,66.11
Verschraubung,2210815,"PE-Verschraubung Pressmessing",messing,1 1/2",63,114.65
Verschraubung,2210912,"PE-Verschraubung Pressmessing",messing,2",32,46.69
Verschraubung,2210913,"PE-Verschraubung Pressmessing",messing,2",40,48.49
Verschraubung,2210914,"PE-Verschraubung Pressmessing",messing,2",50,66.11
Verschraubung,2210915,"PE-Verschraubung Pressmessing",messing,2",63,114.65
PE-Schweißstutzen,2220108,"PE-Schweißstutzen für Wasser",messing,1",32,71.75
PE-Schweißstutzen,2220109,"PE-Schweißstutzen für Wasser",messing,1",40,85.56
PE-Schweißstutzen,2220110,"PE-Schweißstutzen für Wasser",messing,1",50,91.52
PE-Schweißstutzen,2220111,"PE-Schweißstutzen für Wasser",messing,1",63,141.32
PE-Schweißstutzen,2220208,"PE-Schweißstutzen für Wasser",messing,1 1/4",32,71.75
PE-Schweißstutzen,2220209,"PE-Schweißstutzen für Wasser",messing,1 1/4",40,85.56
PE-Schweißstutzen,2220210,"PE-Schweißstutzen für Wasser",messing,1 1/4",50,91.52
PE-Schweißstutzen,2220211,"PE-Schweißstutzen für Wasser",messing,1 1/4",63,141.32
PE-Schweißstutzen,2220308,"PE-Schweißstutzen für Wasser",messing,1 1/2",32,71.75
