Auslaufmengen aus Öffnungen
verschiedener Größe
Obige Zahlenwerte gelten  bei 5 bar Betr iebsdruck mit 100 %
  
  bei 4 bar Betr
iebsdruck mit   89 %
  
  bei 3 bar Betr
iebsdruck mit   77 %
  
  bei 2 bar Betr
iebsdruck mit   63 %
  
  bei 1 bar Betr
iebsdruck mit   45 %
Alle Angaben ohne Gewähr!                                 Liter in der                                   Kubikmeter pro
mm Minute Stunde Tag Monat
0,5 0,33 20 0,48 14,4
1,0 0,97 58 1,39 41,6
1,5 1,82 110 2,64 79,0
2,0 3,16 190 4,56 136,0
2,5 5,09 305 7,30 218,0
3,0 8,15 490 11,75 351,0
3,5 11,30 680 16,30 490,0
4,0 14,80 890 21,40 640,0
4,5 18,20 1100 26,40 790,0
5,0 22,30 1340 32,00 960,0
5,5 26,00 1560 37,40 1120,0
6,0 30,00 1800 43,20 1300,0
6,5 34,00 2050 49,10 1478,0
7,0 39,30 2360 56,80 1700,0

